object_type,luna,arch,file,cantaloupe
Image,UoE~1~1~24762~219803,b9c1b861-815a-4903-9571-1494c1b14a0e,0207180c.tif,
Image,UoE~1~1~24761~219804,a0d63478-9cb1-4c20-adfd-8c97366b7d75,0207179c.tif,
Image,UoE~1~1~24760~219805,69277cf7-6e8c-42c6-852b-b44fe1ba31fb,0207178c.tif,
Image,UoE~1~1~24759~219806,1197551e-83a4-4037-9974-6099200f00cf,0207177c.tif,
Image,UoE~1~1~24758~219807,bdd6c25b-39bc-4fe8-8715-38015a0a5876,0207176c.tif,
Image,UoE~1~1~24757~219808,b2991801-6bbe-43b9-b9be-75c0538f475a,0207175c.tif,
Image,UoE~1~1~24756~219809,75025c05-3c92-457e-8a33-770c0ce116d5,0207174c.tif,
Image,UoE~1~1~24755~219810,053ca98b-d54e-493a-82b9-25f061e051df,0207173c.tif,
Image,UoE~1~1~24754~219811,b2c85de3-4e00-4ef3-9016-105446cb9d07,0207172c.tif,
Image,UoE~1~1~24753~219812,124134c2-fc25-48d2-b407-df39fcf185f2,0207171c.tif,
Image,UoE~1~1~24752~219813,f91e1982-a85d-4231-a08a-e4864e6cf2f1,0207170c.tif,
Image,UoE~1~1~24751~219814,1ee8ff73-f96d-4d2f-a421-343a67879b5f,0207169c.tif,
Image,UoE~1~1~24750~219815,95dfc974-c161-4422-9d37-bbe862bf1a84,0207168c.tif,
Image,UoE~1~1~24749~219816,2942d862-3265-4513-adc3-ba80d40639a8,0207167c.tif,
Image,UoE~1~1~24748~219817,cc15097a-9f3d-41d5-96ab-cc1b202dfb9a,0207166c.tif,
Image,UoE~1~1~24747~219818,063eb6ac-4c01-4d3a-bda9-247a9b3fda82,0207165c.tif,
Image,UoE~1~1~24746~219819,18124975-0731-4ed7-870f-a13a58d93722,0207164c.tif,
Image,UoE~1~1~24745~219820,9ef1e5b7-68c9-4413-91c4-6cd0eb1bda51,0207163c.tif,
Image,UoE~1~1~24744~219821,7b52ac6c-2430-4ab2-85f9-358e20ade8a4,0207162c.tif,
Image,UoE~1~1~24743~219822,9b34c678-8ea4-4511-b3a4-dd9a181c8429,0207161c.tif,
Image,UoE~1~1~24742~219823,93e4f4e8-4c2a-4138-838f-dbf32b56d6ef,0207160c.tif,
Image,UoE~1~1~24741~219824,c57821c9-7124-4020-8a4c-8b2f982b1591,0207159c.tif,
Image,UoE~1~1~24740~219825,23e48ea8-8fa8-4e13-a04f-c0fc718a4abd,0207158c.tif,
Image,UoE~1~1~24739~219826,84aa79db-8319-4e54-aa86-a363b0aace27,0207157c.tif,
Image,UoE~1~1~24738~219827,5afee540-db0c-4f3d-bf8b-e7447d6bc115,0207156c.tif,
Image,UoE~1~1~24737~219828,26236c5d-766d-46a2-ac5e-aef0eba65d11,0207155c.tif,
Image,UoE~1~1~24736~219829,d6bcd3bd-bfbd-4698-9d11-074cc7eb0e85,0207154c.tif,
Image,UoE~1~1~24735~219830,99ec05d2-5fbb-4bd6-9573-eed265976e22,0207153c.tif,
Image,UoE~1~1~24734~219831,894df5f2-bf18-434b-9693-dfba64817da7,0207152c.tif,
Image,UoE~1~1~24733~219832,fba4ef17-961a-4964-b387-5df7a9dc6c48,0207151c.tif,
Image,UoE~1~1~24732~219833,11dcad7b-71a2-47db-8493-510b4fe64a53,0207150c.tif,
Image,UoE~1~1~24731~219834,314c7211-83b1-4281-9dae-9b7bd9730076,0207149c.tif,
Image,UoE~1~1~24730~219835,4a5295e0-67bb-4d7a-9664-697f289ec2c9,0207148c.tif,
Image,UoE~1~1~24729~219836,5cfd16d9-2ea7-4e64-a299-b99162059bbc,0207147c.tif,
Image,UoE~1~1~24728~219837,6c5b6048-184c-4361-8e94-33bcc4a9a8dc,0207146c.tif,
Image,UoE~1~1~24727~219838,d7c05009-5f18-47d9-b531-dd59bf085911,0207145c.tif,
Image,UoE~1~1~24726~219839,dc1d68d9-2169-4700-a854-e3e69185dff2,0207144c.tif,
Image,UoE~1~1~24725~219840,cffa8efc-9e31-4f50-8231-2281ef17d7c8,0207143c.tif,
Image,UoE~1~1~24724~219841,64a42718-3a95-4088-a3a5-8a3c20ffd50f,0207142c.tif,
Image,UoE~1~1~24723~219842,62138225-44e7-4737-a727-31b8000bd4ff,0207141c.tif,
Image,UoE~1~1~24722~219843,844d457d-61d7-497c-91c6-18a8fce172bb,0207140c.tif,
Image,UoE~1~1~24721~219844,d96988ea-2701-4a50-bc6a-6083b6659006,0207139c.tif,
Image,UoE~1~1~24720~219845,8c867cc3-5ec3-475f-a8e1-fd38f357d6c5,0207138c.tif,
Image,UoE~1~1~24719~219846,bfb3016e-2f77-4f8e-903d-7f4ae10fe34f,0207137c.tif,
Image,UoE~1~1~24718~219847,56ba2034-a3ef-4f90-bc7e-8c15c7e7cfad,0207136c.tif,
Image,UoE~1~1~24717~219848,a0ec3e81-b1b5-4c8a-b161-4f5cbbb48940,0207135c.tif,
Image,UoE~1~1~24716~219849,584f6178-a591-4dd5-bdf8-585789d6150d,0207134c.tif,
Image,UoE~1~1~24715~219850,379ccd76-07e5-4c59-b1f1-4321542334e8,0207133c.tif,
Image,UoE~1~1~24714~219851,e1a1d2c2-9aae-427e-b1a8-e92523bbee46,0207132c.tif,
Image,UoE~1~1~24713~219852,34d4dc38-262a-4262-ace2-b503e6f5584d,0207131c.tif,
Image,UoE~1~1~24712~219853,1c661369-a570-48cf-85b2-1bcf2fa456d7,0207130c.tif,
Image,UoE~1~1~24711~219854,53c10d1b-8761-4199-9af0-16b59c9d2245,0207129c.tif,
Image,UoE~1~1~24710~219855,0d1935d5-50f8-416c-84bc-685cf741461d,0207128c.tif,
Image,UoE~1~1~24709~219856,8b6c1446-4a25-40eb-8e2b-cedee86e42d4,0207127c.tif,
Image,UoE~1~1~24708~219857,a481a6ee-a9e3-4b68-afb7-62e315a5d4b1,0207126c.tif,
Image,UoE~1~1~24707~219858,63407e7c-c3c4-45bf-927d-bc54b8298c69,0207125c.tif,
Image,UoE~1~1~24706~219859,d49c3cc3-660a-4835-a17e-32c74381ca86,0207124c.tif,
Image,UoE~1~1~24705~219860,8d90f160-9ea9-4d5c-8679-d80c7c28a557,0207123c.tif,
Image,UoE~1~1~24704~219861,b535aa2f-17ff-4523-a3d5-e925fb95b54d,0207122c.tif,
Image,UoE~1~1~24703~219862,e0c10f5a-aeee-434e-b61c-64e1c4744cd3,0207121c.tif,
Image,UoE~1~1~24702~219863,b16f0336-8b31-42f7-b888-c6dc33416306,0207120c.tif,
Image,UoE~1~1~24701~219864,db15a8cd-0732-484f-b457-71a856e2eb2c,0207119c.tif,
Image,UoE~1~1~24700~219865,abb304ce-0cb9-42a1-b174-547be99e66a2,0207118c.tif,
Image,UoE~1~1~24699~219866,80658764-7cdf-4764-8813-d2e06e8421c8,0207117c.tif,
Image,UoE~1~1~24698~219867,77a42288-bca0-475c-b4c3-f5e7eb504132,0207116c.tif,
Image,UoE~1~1~24697~219868,015b5727-1256-4d76-ba66-ba9d811cc8d8,0207115c.tif,
Image,UoE~1~1~24696~219869,7634b2c3-9350-4fb0-8e3d-1de4e2a6d745,0207114c.tif,
Image,UoE~1~1~24695~219870,b42f8f61-bc69-426f-8956-762e04b045f4,0207113c.tif,
Image,UoE~1~1~24694~219871,57373e08-820d-4724-affc-c4cefcc4c112,0207112c.tif,
Image,UoE~1~1~24693~219872,eaffe85d-ce5e-41cd-98a0-b0365cb99131,0207111c.tif,
Image,UoE~1~1~24692~219873,75003d6a-a5a7-46b4-877e-1c41479532de,0207110c.tif,
