TOKEN, MAPPEDURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
27o93c,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46767~101582:Richard-III,-1629,-Front-end-paper-?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=1&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name"
wc08jp,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46791~101584?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=3&cic=UoEsha%7E1%7E1
h7gn44,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46803~101585?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=4&cic=UoEsha%7E1%7E1
1oab6z,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46815~101586?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=5&cic=UoEsha%7E1%7E1
r463hq,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46851~101589?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=8&cic=UoEsha%7E1%7E1
7o4ib7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46863~101590?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=9&cic=UoEsha%7E1%7E1
y8i8m7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46875~101591?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=10&cic=UoEsha%7E1%7E1
1g826e,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46887~101592?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=11&cic=UoEsha%7E1%7E1
9855zh,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46923~101595?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=14&cic=UoEsha%7E1%7E1
6lq83w,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46959~101598?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=17&cic=UoEsha%7E1%7E1
9g3fu1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46971~101599?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=18&cic=UoEsha%7E1%7E1
n39m30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~46983~101600?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=19&cic=UoEsha%7E1%7E1
xp7100,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47007~101602?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=21&cic=UoEsha%7E1%7E1
z5lqwg,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47067~101607?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=26&cic=UoEsha%7E1%7E1
eyz6wo,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47115~101611?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=30&cic=UoEsha%7E1%7E1
655h3z,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47163~101615?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=34&cic=UoEsha%7E1%7E1
ke2jsu,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47343~101630?trs=56&qvq=q%3AJA+3705%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=49&cic=UoEsha%7E1%7E1
s8ezka,https://images.is.ed.ac.uk/luna/servlet/view/search?q=Work_Shelfmark%3D%22JA+3705%22&pgs=50&res=1&cic=UoEsha%7E1%7E1
